row_no,report_rate,code_line,item_no,unit_form,unit_okei,name_nsi,note_x,footnotes,match
1,procurementOfSeedsOfFore1Kg,010,1.,кг,166,Заготовка семян лесных растений для лесовосстановления и лесоразведения,,4,точное
2,procurementOfSeedsOfFore2Kg,020,1.1.,кг,166,Заготовка семян лесных растений на объектах постоянной лесосеменной базы,,4,по номеру строки и единице (сходство 0.86)
3,preparationOfImprovedAnd3Kg,030,1.2.,кг,166,Заготовка улучшенных и сортовых семян лесных растений,,4,точное
4,creationOfForestSeedPlan4Ga,040,2.,га,059,Создание лесосеменных плантаций,,,точное
5,establishmentOfPermanent5Ga,050,3.,га,059,Создание постоянных лесосеменных участков,,,точное
6,selectionOfPlusForestPla6Ga,060,4.,га,059,Отбор плюсовых лесных насаждений,1,,точное
7,selectionOfPlusTrees7Pc,070,5.,шт.,796,Отбор плюсовых деревьев,1,,точное
8,creationOfMotherPlantati8Ga,080,6.,га,059,Создание маточных плантаций,,,точное
9,creationOfArchivesOfClon9Ga,090,7.,га,059,Создание архивов клонов плюсовых деревьев,,,точное
10,creationOfTestCultures10Ga,100,8.,га,059,Создание испытательных культур,,,точное
11,creationOfPopulationEcol11Ga,110,9.,га,059,Создание популяционно-экологических культур,,,точное
12,creationOfGeographicCult12Ga,120,10.,га,059,Создание географических культур,,,точное
13,cultivationOfStndPla13ThsndPic,130,11.,тыс.шт.,798,"Выращивание стандартного посадочного материала деревьев и кустарников для лесовосстановления и лесоразведения, всего",,6,точное
14,incldSeedling14ThousandPieces,131,11.1.,тыс.шт.,798,в том числе: сеянцев,,,точное
15,ofWhichConifer15ThousandPieces,132,,тыс.шт.,798,из них - хвойных пород,,4,точное
16,seedWitGaClosedRoot16ThsndPic,133,11.1.1.,тыс.шт.,798,сеянцев с закрытой корневой системой,,4,точное
17,ofWhichConifer17ThousandPieces,134,,тыс.шт.,798,из них - хвойных пород,,4,точное
18,incldFromSeedsWithIm18ThndPics,135,11.1.2.,тыс.шт.,798,в том числе из семян с улучшенными наследственными свойствами,,4,по номеру строки и единице (сходство 0.94)
19,ofWhichConifer19ThousandPieces,136,,тыс.шт.,798,из них - хвойных пород,,4,точное
